T,M,L,Pay,Discount,Extra
1,3,100,30.15 ,0,0.05
59,3,100,38.85 ,0,0.05
60,3,100,39.00 ,0,0.05
61,3,100,39.15 ,0,0.05
119,3,100,47.85 ,0,0.05
120,3,100,48.00 ,0,0.05
121,3,100,47.79 ,0.02,0.05
179,3,100,56.31 ,0.02,0.05
180,3,100,56.46 ,0.02,0.05
181,3,100,56.47 ,0.025,0.05
299,3,100,73.73 ,0.025,0.05
300,3,100,73.88 ,0.025,0.05
301,3,100,73.80 ,0.03,0.05
2000,3,100,321.00 ,0.03,0.05
44639,3,100,6524.97 ,0.03,0.05
44640,3,100,6525.12 ,0.03,0.05
180,0,100,56.46 ,0.02,0.05
180,1,100,56.46 ,0.02,0.05
180,2,100,56.46 ,0.02,0.05
180,3,100,56.46 ,0.02,0.05
180,6,100,57.00 ,0,0.05
180,11,100,57.00 ,0,0.05
180,3,0,51.46 ,0.02,0
180,3,10,51.96 ,0.02,0.05
180,3,100,56.46 ,0.02,0.05
180,3,1000,101.46 ,0.02,0.05
180,3,79356,4019.26 ,0.02,0.05
