year,month,day,NextDay
2000,6,14,2000/6/15
2001,6,14,2001/6/15
2099,6,14,2099/6/15
2100,6,14,2100/6/15
2021,1,14,2021/1/15
2021,2,14,2021/2/15
2021,11,14,2021/11/15
2021,12,14,2021/12/15
2021,6,1,2021/6/2
2021,6,2,2021/6/3
2021,6,30,2021/7/1
2021,6,31,None
2021,6,14,2021/6/15
1999,6,14,None
2101,6,14,None
-1,6,14,None
2021,0,14,None
2021,13,14,None
2021,6,0,None
2021,6,29,2021/6/30
2020,2,28,2020/2/29
2020,2,29,2020/3/1
2021,12,31,2022/1/1
2099,2,28,2099/3/1
2100,12,31,None
